,Grupo,Pais,Pos,Name,Captain,Age,Caps,Goals,Club
89,Group A,Uruguay,3MF,Cristian Rodríguez,No,(1985-09-30)30 September 1985 (aged 32),104,11, Peñarol
90,Group A,Uruguay,3MF,Carlos Sánchez,No,(1984-12-02)2 December 1984 (aged 33),35,1, Monterrey
91,Group A,Uruguay,3MF,Lucas Torreira,No,(1996-02-11)11 February 1996 (aged 22),2,0, Sampdoria
92,Group A,Uruguay,3MF,Matías Vecino,No,(1991-08-24)24 August 1991 (aged 26),21,1, Internazionale
93,Group A,Uruguay,4FW,Edinson Cavani,No,(1987-02-14)14 February 1987 (aged 31),100,42, Paris Saint-Germain
94,Group A,Uruguay,4FW,Maxi Gómez,No,(1996-08-14)14 August 1996 (aged 21),4,0, Celta Vigo
95,Group A,Uruguay,4FW,Cristhian Stuani,No,(1986-12-10)10 December 1986 (aged 31),40,5, Girona
96,Group A,Uruguay,4FW,Luis Suárez,No,(1987-01-24)24 January 1987 (aged 31),97,50, Barcelona
97,Group A,Uruguay,4FW,Jonathan Urretaviscaya,No,(1990-03-19)19 March 1990 (aged 28),4,0, Monterrey
98,Group B,Iran,1GK,Alireza Beiranvand,No,(1992-09-21)21 September 1992 (aged 25),21,0, Persepolis
99,Group B,Iran,1GK,Mohammad Rashid Mazaheri,No,(1989-05-18)18 May 1989 (aged 29),3,0, Zob Ahan Esfahan
100,Group B,Iran,1GK,Amir Abedzadeh,No,(1993-04-26)26 April 1993 (aged 25),1,0, Marítimo
101,Group B,Iran,2DF,Pejman Montazeri,No,(1983-09-06)6 September 1983 (aged 34),46,1, Esteghlal
102,Group B,Iran,2DF,Ramin Rezaeian,No,(1990-03-21)21 March 1990 (aged 28),27,2, Oostende
103,Group B,Iran,2DF,Morteza Pouraliganji,No,(1992-04-19)19 April 1992 (aged 26),26,2, Al-Sadd
104,Group B,Iran,2DF,Milad Mohammadi,No,(1993-09-29)29 September 1993 (aged 24),18,0, Akhmat Grozny
105,Group B,Iran,2DF,Mohammad Reza Khanzadeh,No,(1991-05-11)11 May 1991 (aged 27),11,1, Padideh
106,Group B,Iran,2DF,Rouzbeh Cheshmi,No,(1993-07-24)24 July 1993 (aged 24),9,1, Esteghlal
107,Group B,Iran,2DF,Majid Hosseini,No,(1996-06-20)20 June 1996 (aged 21),1,0, Esteghlal
108,Group B,Iran,3MF,Ehsan Hajsafi,No,(1990-02-25)25 February 1990 (aged 28),93,6, Olympiacos
109,Group B,Iran,3MF,Masoud Shojaei,Si,(1984-06-09)9 June 1984 (aged 34),73,8, AEK Athens
110,Group B,Iran,3MF,Ashkan Dejagah,No,(1986-06-05)5 June 1986 (aged 32),45,9, Nottingham Forest
111,Group B,Iran,3MF,Vahid Amiri,No,(1988-04-02)2 April 1988 (aged 30),35,1, Persepolis
112,Group B,Iran,3MF,Omid Ebrahimi,No,(1987-09-16)16 September 1987 (aged 30),29,0, Esteghlal
113,Group B,Iran,3MF,Saeid Ezatolahi,No,(1996-10-01)1 October 1996 (aged 21),25,1, Amkar Perm
114,Group B,Iran,3MF,Mehdi Torabi,No,(1994-09-10)10 September 1994 (aged 23),16,4, Saipa
115,Group B,Iran,3MF,Saman Ghoddos,No,(1993-09-06)6 September 1993 (aged 24),7,1, Östersund
116,Group B,Iran,3MF,Ali Gholizadeh,No,(1996-03-10)10 March 1996 (aged 22),2,2, Saipa
117,Group B,Iran,4FW,Karim Ansarifard,No,(1990-04-03)3 April 1990 (aged 28),63,16, Olympiacos
118,Group B,Iran,4FW,Reza Ghoochannejhad,No,(1987-09-20)20 September 1987 (aged 30),42,17, Heerenveen
119,Group B,Iran,4FW,Alireza Jahanbakhsh,No,(1993-08-11)11 August 1993 (aged 24),37,4, AZ
120,Group B,Iran,4FW,Sardar Azmoun,No,(1995-01-01)1 January 1995 (aged 23),32,23, Rubin Kazan
121,Group B,Iran,4FW,Mehdi Taremi,No,(1992-07-18)18 July 1992 (aged 25),25,11, Al-Gharafa
122,Group B,Morocco,1GK,Munir Mohamedi,No,(1989-05-10)10 May 1989 (aged 29),26,0, Numancia
123,Group B,Morocco,1GK,Yassine Bounou,No,(1991-04-05)5 April 1991 (aged 27),10,0, Girona
124,Group B,Morocco,1GK,Ahmed Reda Tagnaouti,No,(1996-04-05)5 April 1996 (aged 22),2,0, IR Tanger
125,Group B,Morocco,2DF,Medhi Benatia,Si,(1987-04-17)17 April 1987 (aged 31),55,2, Juventus
126,Group B,Morocco,2DF,Nabil Dirar,No,(1986-02-25)25 February 1986 (aged 32),34,3, Fenerbahçe
127,Group B,Morocco,2DF,Manuel da Costa,No,(1986-05-06)6 May 1986 (aged 32),26,1, İstanbul Başakşehir
128,Group B,Morocco,2DF,Romain Saïss,No,(1990-03-26)26 March 1990 (aged 28),22,1, Wolverhampton Wanderers
129,Group B,Morocco,2DF,Hamza Mendyl,No,(1997-10-21)21 October 1997 (aged 20),12,0, Lille
130,Group B,Morocco,2DF,Badr Banoun,No,(1993-09-30)30 September 1993 (aged 24),9,1, Raja Casablanca
131,Group B,Morocco,2DF,Achraf Hakimi,No,(1998-11-04)4 November 1998 (aged 19),8,1, Real Madrid
132,Group B,Morocco,3MF,Mbark Boussoufa,No,(1984-08-15)15 August 1984 (aged 33),57,7, Al-Jazira
133,Group B,Morocco,3MF,Karim El Ahmadi,No,(1985-01-27)27 January 1985 (aged 33),49,1, Feyenoord
134,Group B,Morocco,3MF,Younès Belhanda,No,(1990-02-25)25 February 1990 (aged 28),45,3, Galatasaray
135,Group B,Morocco,3MF,Nordin Amrabat,No,(1987-03-31)31 March 1987 (aged 31),42,4, Leganés
136,Group B,Morocco,3MF,Fayçal Fajr,No,(1988-08-01)1 August 1988 (aged 29),22,2, Getafe
137,Group B,Morocco,3MF,Hakim Ziyech,No,(1993-03-19)19 March 1993 (aged 25),16,8, Ajax
138,Group B,Morocco,3MF,Youssef Aït Bennasser,No,(1996-07-07)7 July 1996 (aged 21),12,0, Caen
139,Group B,Morocco,3MF,Mehdi Carcela,No,(1989-07-01)1 July 1989 (aged 28),19,1, Standard Liège
140,Group B,Morocco,3MF,Sofyan Amrabat,No,(1996-08-21)21 August 1996 (aged 21),5,0, Feyenoord
141,Group B,Morocco,3MF,Amine Harit,No,(1997-06-18)18 June 1997 (aged 20),4,0, Schalke 04
142,Group B,Morocco,4FW,Khalid Boutaïb,No,(1987-04-24)24 April 1987 (aged 31),16,7, Yeni Malatyaspor
143,Group B,Morocco,4FW,Aziz Bouhaddouz,No,(1987-01-29)29 January 1987 (aged 31),14,3, FC St. Pauli
144,Group B,Morocco,4FW,Ayoub El Kaabi,No,(1993-06-26)26 June 1993 (aged 24),8,10, RS Berkane
145,Group B,Portugal,1GK,Rui Patrício,No,(1988-02-15)15 February 1988 (aged 30),68,0, Sporting CP
146,Group B,Portugal,2DF,Bruno Alves,No,(1981-11-27)27 November 1981 (aged 36),95,11, Rangers
147,Group B,Portugal,2DF,Pepe,No,(1983-02-26)26 February 1983 (aged 35),94,5, Beşiktaş
148,Group B,Portugal,3MF,Manuel Fernandes,No,(1986-02-05)5 February 1986 (aged 32),14,3, Lokomotiv Moscow
149,Group B,Portugal,2DF,Raphaël Guerreiro,No,(1993-12-22)22 December 1993 (aged 24),23,2, Borussia Dortmund
150,Group B,Portugal,2DF,José Fonte,No,(1983-12-22)22 December 1983 (aged 34),30,0, Dalian Yifang
151,Group B,Portugal,4FW,Cristiano Ronaldo,Si,(1985-02-05)5 February 1985 (aged 33),149,81, Real Madrid
152,Group B,Portugal,3MF,João Moutinho,No,(1986-09-08)8 September 1986 (aged 31),109,7, Monaco
153,Group B,Portugal,4FW,André Silva,No,(1995-11-06)6 November 1995 (aged 22),22,12, Milan
154,Group B,Portugal,3MF,João Mário,No,(1993-01-19)19 January 1993 (aged 25),35,2, West Ham United
155,Group B,Portugal,4FW,Bernardo Silva,No,(1994-08-10)10 August 1994 (aged 23),24,2, Manchester City
156,Group B,Portugal,1GK,Anthony Lopes,No,(1990-10-01)1 October 1990 (aged 27),7,0, Lyon
157,Group B,Portugal,2DF,Rúben Dias,No,(1997-05-14)14 May 1997 (aged 21),1,0, Benfica
158,Group B,Portugal,3MF,William Carvalho,No,(1992-04-07)7 April 1992 (aged 26),42,2, Sporting CP
159,Group B,Portugal,2DF,Ricardo Pereira,No,(1993-10-06)6 October 1993 (aged 24),4,0, Porto
160,Group B,Portugal,3MF,Bruno Fernandes,No,(1994-09-08)8 September 1994 (aged 23),5,0, Sporting CP
161,Group B,Portugal,4FW,Gonçalo Guedes,No,(1996-11-29)29 November 1996 (aged 21),9,1, Valencia
162,Group B,Portugal,4FW,Gelson Martins,No,(1995-05-11)11 May 1995 (aged 23),18,0, Sporting CP
163,Group B,Portugal,2DF,Mário Rui,No,(1991-05-27)27 May 1991 (aged 27),3,0, Napoli
164,Group B,Portugal,4FW,Ricardo Quaresma,No,(1983-09-26)26 September 1983 (aged 34),76,9, Beşiktaş
165,Group B,Portugal,2DF,Cédric,No,(1991-08-31)31 August 1991 (aged 26),28,1, Southampton
166,Group B,Portugal,1GK,Beto,No,(1982-06-01)1 June 1982 (aged 36),14,0, Göztepe
167,Group B,Portugal,3MF,Adrien Silva,No,(1989-03-15)15 March 1989 (aged 29),22,1, Leicester City
168,Group B,Spain,1GK,Kepa Arrizabalaga,No,(1994-10-03)3 October 1994 (aged 23),1,0, Athletic Bilbao
169,Group B,Spain,1GK,David de Gea,No,(1990-11-07)7 November 1990 (aged 27),28,0, Manchester United
170,Group B,Spain,1GK,Pepe Reina,No,(1982-08-31)31 August 1982 (aged 35),36,0, Napoli
171,Group B,Spain,2DF,Jordi Alba,No,(1989-03-21)21 March 1989 (aged 29),61,8, Barcelona
172,Group B,Spain,2DF,César Azpilicueta,No,(1989-08-28)28 August 1989 (aged 28),22,0, Chelsea
173,Group B,Spain,2DF,Dani Carvajal,No,(1992-01-11)11 January 1992 (aged 26),15,0, Real Madrid
174,Group B,Spain,2DF,Nacho Monreal,No,(1986-02-26)26 February 1986 (aged 32),22,1, Arsenal
175,Group B,Spain,2DF,Nacho,No,(1990-01-18)18 January 1990 (aged 28),16,0, Real Madrid
176,Group B,Spain,2DF,Álvaro Odriozola,No,(1995-12-14)14 December 1995 (aged 22),3,1, Real Sociedad
177,Group B,Spain,2DF,Gerard Piqué,No,(1987-02-02)2 February 1987 (aged 31),97,5, Barcelona
178,Group B,Spain,2DF,Sergio Ramos,Si,(1986-03-30)30 March 1986 (aged 32),151,13, Real Madrid
179,Group B,Spain,3MF,Marco Asensio,No,(1996-01-21)21 January 1996 (aged 22),11,0, Real Madrid
180,Group B,Spain,3MF,Sergio Busquets,No,(1988-07-16)16 July 1988 (aged 29),102,2, Barcelona
181,Group B,Spain,3MF,Andrés Iniesta,No,(1984-05-11)11 May 1984 (aged 34),126,14, Barcelona
182,Group B,Spain,3MF,Isco,No,(1992-04-21)21 April 1992 (aged 26),27,10, Real Madrid
183,Group B,Spain,3MF,Koke,No,(1992-01-08)8 January 1992 (aged 26),39,0, Atlético Madrid
184,Group B,Spain,3MF,Saúl,No,(1994-11-21)21 November 1994 (aged 23),10,0, Atlético Madrid
185,Group B,Spain,3MF,David Silva,No,(1986-01-08)8 January 1986 (aged 32),120,35, Manchester City
186,Group B,Spain,3MF,Thiago,No,(1991-04-11)11 April 1991 (aged 27),28,2, Bayern Munich
187,Group B,Spain,4FW,Iago Aspas,No,(1987-08-01)1 August 1987 (aged 30),9,4, Celta Vigo
188,Group B,Spain,4FW,Diego Costa,No,(1988-10-07)7 October 1988 (aged 29),19,7, Atlético Madrid
189,Group B,Spain,4FW,Rodrigo,No,(1991-03-06)6 March 1991 (aged 27),5,2, Valencia
190,Group B,Spain,4FW,Lucas Vázquez,No,(1991-07-01)1 July 1991 (aged 26),6,0, Real Madrid
191,Group C,Australia,1GK,Brad Jones,No,(1982-03-19)19 March 1982 (aged 36),5,0, Feyenoord
192,Group C,Australia,1GK,Mathew Ryan,No,(1992-04-08)8 April 1992 (aged 26),43,0, Brighton & Hove Albion
193,Group C,Australia,1GK,Danny Vukovic,No,(1985-03-27)27 March 1985 (aged 33),1,0, Genk
194,Group C,Australia,2DF,Aziz Behich,No,(1990-10-16)16 October 1990 (aged 27),22,2, Bursaspor
195,Group C,Australia,2DF,Milos Degenek,No,(1994-04-28)28 April 1994 (aged 24),18,0, Yokohama F. Marinos
196,Group C,Australia,2DF,Matthew Jurman,No,(1989-12-08)8 December 1989 (aged 28),4,0, Suwon Samsung Bluewings
197,Group C,Australia,2DF,James Meredith,No,(1988-04-04)4 April 1988 (aged 30),2,0, Millwall
198,Group C,Australia,2DF,Josh Risdon,No,(1992-07-27)27 July 1992 (aged 25),7,0, Western Sydney Wanderers
199,Group C,Australia,2DF,Trent Sainsbury,No,(1992-01-05)5 January 1992 (aged 26),34,3, Grasshoppers
200,Group C,Australia,3MF,Jackson Irvine,No,(1993-03-07)7 March 1993 (aged 25),18,2, Hull City
201,Group C,Australia,3MF,Mile Jedinak,Si,(1984-08-03)3 August 1984 (aged 33),75,18, Aston Villa
202,Group C,Australia,3MF,Robbie Kruse,No,(1988-10-05)5 October 1988 (aged 29),63,5, VfL Bochum
203,Group C,Australia,3MF,Massimo Luongo,No,(1992-09-25)25 September 1992 (aged 25),35,5, Queens Park Rangers
204,Group C,Australia,3MF,Mark Milligan,No,(1985-08-04)4 August 1985 (aged 32),70,6, Al-Ahli
205,Group C,Australia,3MF,Aaron Mooy,No,(1990-09-15)15 September 1990 (aged 27),33,5, Huddersfield Town
206,Group C,Australia,3MF,Tom Rogic,No,(1992-12-16)16 December 1992 (aged 25),36,7, Celtic
207,Group C,Australia,4FW,Daniel Arzani,No,(1999-01-04)4 January 1999 (aged 19),1,0, Melbourne City
208,Group C,Australia,4FW,Tim Cahill,No,(1979-12-06)6 December 1979 (aged 38),105,50, Millwall
209,Group C,Australia,4FW,Tomi Juric,No,(1991-07-22)22 July 1991 (aged 26),34,8, Luzern
210,Group C,Australia,4FW,Mathew Leckie,No,(1991-02-04)4 February 1991 (aged 27),52,8, Hertha BSC
211,Group C,Australia,4FW,Jamie Maclaren,No,(1993-07-29)29 July 1993 (aged 24),6,0, Hibernian
212,Group C,Australia,4FW,Andrew Nabbout,No,(1992-12-17)17 December 1992 (aged 25),3,1, Urawa Red Diamonds
213,Group C,Australia,4FW,Dimitri Petratos,No,(1992-11-10)10 November 1992 (aged 25),2,0, Newcastle Jets
214,Group C,Denmark,1GK,Jonas Lössl,No,(1989-02-01)1 February 1989 (aged 29),1,0, Huddersfield Town
215,Group C,Denmark,1GK,Frederik Rønnow,No,(1992-08-04)4 August 1992 (aged 25),6,0, Brøndby
216,Group C,Denmark,1GK,Kasper Schmeichel,No,(1986-11-05)5 November 1986 (aged 31),34,0, Leicester City
217,Group C,Denmark,2DF,Andreas Christensen,No,(1996-04-10)10 April 1996 (aged 22),15,1, Chelsea
218,Group C,Denmark,2DF,Henrik Dalsgaard,No,(1989-07-27)27 July 1989 (aged 28),10,0, Brentford
219,Group C,Denmark,2DF,Mathias Jørgensen,No,(1990-04-23)23 April 1990 (aged 28),12,0, Huddersfield Town
220,Group C,Denmark,2DF,Simon Kjær,Si,(1989-03-26)26 March 1989 (aged 29),77,3, Sevilla
221,Group C,Denmark,2DF,Jonas Knudsen,No,(1992-09-16)16 September 1992 (aged 25),3,0, Ipswich Town
222,Group C,Denmark,2DF,Jens Stryger Larsen,No,(1991-02-21)21 February 1991 (aged 27),12,1, Udinese
223,Group C,Denmark,2DF,Jannik Vestergaard,No,(1992-08-03)3 August 1992 (aged 25),16,1, Borussia Mönchengladbach
224,Group C,Denmark,3MF,Thomas Delaney,No,(1991-09-03)3 September 1991 (aged 26),26,4, Werder Bremen
225,Group C,Denmark,3MF,Christian Eriksen,No,(1992-02-14)14 February 1992 (aged 26),77,21, Tottenham Hotspur
226,Group C,Denmark,3MF,Michael Krohn-Dehli,No,(1983-06-06)6 June 1983 (aged 35),58,6, Deportivo La Coruña
227,Group C,Denmark,3MF,William Kvist,No,(1985-02-24)24 February 1985 (aged 33),79,2, Copenhagen
228,Group C,Denmark,3MF,Lukas Lerager,No,(1993-07-12)12 July 1993 (aged 24),3,0, Bordeaux
229,Group C,Denmark,3MF,Lasse Schöne,No,(1986-05-27)27 May 1986 (aged 32),35,3, Ajax
230,Group C,Denmark,4FW,Martin Braithwaite,No,(1991-06-05)5 June 1991 (aged 27),19,1, Bordeaux
231,Group C,Denmark,4FW,Andreas Cornelius,No,(1993-03-16)16 March 1993 (aged 25),18,4, Atalanta
232,Group C,Denmark,4FW,Kasper Dolberg,No,(1997-10-06)6 October 1997 (aged 20),5,1, Ajax
233,Group C,Denmark,4FW,Viktor Fischer,No,(1994-06-09)9 June 1994 (aged 24),18,3, Copenhagen
