,Grupo,Pais,Pos,Name,Captain,Age,Caps,Goals,Club
472,Group F,Germany,1GK,Bernd Leno,No,(1992-03-04)4 March 1992 (aged 26),6,0, Bayer Leverkusen
473,Group F,Germany,1GK,Manuel Neuer,Si,(1986-03-27)27 March 1986 (aged 32),75,0, Bayern Munich
474,Group F,Germany,1GK,Marc-André ter Stegen,No,(1992-04-30)30 April 1992 (aged 26),19,0, Barcelona
475,Group F,Germany,1GK,Kevin Trapp,No,(1990-07-08)8 July 1990 (aged 27),3,0, Paris Saint-Germain
476,Group F,Germany,2DF,Jérôme Boateng,No,(1988-09-03)3 September 1988 (aged 29),70,1, Bayern Munich
477,Group F,Germany,2DF,Matthias Ginter,No,(1994-01-19)19 January 1994 (aged 24),17,0, Borussia Mönchengladbach
478,Group F,Germany,2DF,Jonas Hector,No,(1990-05-27)27 May 1990 (aged 28),37,3, 1. FC Köln
479,Group F,Germany,2DF,Mats Hummels,No,(1988-12-16)16 December 1988 (aged 29),63,5, Bayern Munich
480,Group F,Germany,2DF,Joshua Kimmich,No,(1995-02-08)8 February 1995 (aged 23),28,3, Bayern Munich
481,Group F,Germany,2DF,Marvin Plattenhardt,No,(1992-01-26)26 January 1992 (aged 26),6,0, Hertha BSC
482,Group F,Germany,2DF,Antonio Rüdiger,No,(1993-03-03)3 March 1993 (aged 25),24,1, Chelsea
483,Group F,Germany,2DF,Niklas Süle,No,(1995-09-03)3 September 1995 (aged 22),10,0, Bayern Munich
484,Group F,Germany,2DF,Jonathan Tah,No,(1996-02-11)11 February 1996 (aged 22),3,0, Bayer Leverkusen
485,Group F,Germany,3MF,Julian Brandt,No,(1996-05-02)2 May 1996 (aged 22),15,1, Bayer Leverkusen
486,Group F,Germany,3MF,Julian Draxler,No,(1993-09-20)20 September 1993 (aged 24),43,6, Paris Saint-Germain
487,Group F,Germany,3MF,Leon Goretzka,No,(1995-02-06)6 February 1995 (aged 23),15,6, Schalke 04
488,Group F,Germany,3MF,İlkay Gündoğan,No,(1990-10-24)24 October 1990 (aged 27),25,4, Manchester City
489,Group F,Germany,3MF,Sami Khedira,No,(1987-04-04)4 April 1987 (aged 31),74,7, Juventus
490,Group F,Germany,3MF,Toni Kroos,No,(1990-01-04)4 January 1990 (aged 28),82,12, Real Madrid
491,Group F,Germany,3MF,Mesut Özil,No,(1988-10-15)15 October 1988 (aged 29),90,23, Arsenal
492,Group F,Germany,3MF,Marco Reus,No,(1989-05-31)31 May 1989 (aged 29),30,9, Borussia Dortmund
493,Group F,Germany,3MF,Sebastian Rudy,No,(1990-02-28)28 February 1990 (aged 28),25,1, Bayern Munich
494,Group F,Germany,3MF,Leroy Sané,No,(1996-01-11)11 January 1996 (aged 22),12,0, Manchester City
495,Group F,Germany,4FW,Mario Gómez,No,(1985-07-10)10 July 1985 (aged 32),74,31, VfB Stuttgart
496,Group F,Germany,4FW,Thomas Müller,No,(1989-09-13)13 September 1989 (aged 28),90,38, Bayern Munich
497,Group F,Germany,4FW,Nils Petersen,No,(1988-12-06)6 December 1988 (aged 29),1,0, SC Freiburg
498,Group F,Germany,4FW,Timo Werner,No,(1996-03-06)6 March 1996 (aged 22),13,7, RB Leipzig
499,Group F,Mexico,1GK,Guillermo Ochoa,No,(1985-07-13)13 July 1985 (aged 32),93,0, Standard Liège
500,Group F,Mexico,1GK,José de Jesús Corona,No,(1981-01-28)28 January 1981 (aged 37),52,0, Cruz Azul
501,Group F,Mexico,1GK,Alfredo Talavera,No,(1982-09-18)18 September 1982 (aged 35),27,0, Toluca
502,Group F,Mexico,2DF,Héctor Moreno,No,(1988-01-17)17 January 1988 (aged 30),91,3, Real Sociedad
503,Group F,Mexico,2DF,Miguel Layún,No,(1988-06-25)25 June 1988 (aged 29),63,6, Sevilla
504,Group F,Mexico,2DF,Diego Reyes,No,(1992-09-19)19 September 1992 (aged 25),55,1, Porto
505,Group F,Mexico,2DF,Hugo Ayala,No,(1987-03-31)31 March 1987 (aged 31),42,1, UANL
506,Group F,Mexico,2DF,Jesús Gallardo,No,(1994-08-14)14 August 1994 (aged 23),22,0, UNAM
507,Group F,Mexico,2DF,Carlos Salcedo,No,(1993-09-29)29 September 1993 (aged 24),20,0, Eintracht Frankfurt
508,Group F,Mexico,2DF,Edson Álvarez,No,(1997-10-24)24 October 1997 (aged 20),12,1, América
509,Group F,Mexico,3MF,Andrés Guardado,Si,(1986-09-28)28 September 1986 (aged 31),144,25, Real Betis
510,Group F,Mexico,3MF,Marco Fabián,No,(1989-07-21)21 July 1989 (aged 28),38,9, Eintracht Frankfurt
511,Group F,Mexico,3MF,Héctor Herrera,No,(1990-04-19)19 April 1990 (aged 28),65,5, Porto
512,Group F,Mexico,3MF,Rafael Márquez,No,(1979-02-13)13 February 1979 (aged 39),144,18, Atlas
513,Group F,Mexico,3MF,Jonathan dos Santos,No,(1990-04-26)26 April 1990 (aged 28),31,0, LA Galaxy
514,Group F,Mexico,3MF,Giovani dos Santos,No,(1989-05-11)11 May 1989 (aged 29),104,19, LA Galaxy
515,Group F,Mexico,3MF,Érick Gutiérrez,No,(1995-06-17)17 June 1995 (aged 22),10,0, Pachuca
516,Group F,Mexico,4FW,Javier Aquino,No,(1990-02-11)11 February 1990 (aged 28),53,0, UANL
517,Group F,Mexico,4FW,Javier Hernández,No,(1988-06-01)1 June 1988 (aged 30),101,49, West Ham United
518,Group F,Mexico,4FW,Carlos Vela,No,(1989-03-01)1 March 1989 (aged 29),68,18, Los Angeles FC
519,Group F,Mexico,4FW,Oribe Peralta,No,(1984-01-12)12 January 1984 (aged 34),66,26, América
520,Group F,Mexico,4FW,Raúl Jiménez,No,(1991-05-05)5 May 1991 (aged 27),63,13, Benfica
521,Group F,Mexico,4FW,Jesús Manuel Corona,No,(1993-01-06)6 January 1993 (aged 25),35,7, Porto
522,Group F,Mexico,4FW,Hirving Lozano,No,(1995-07-30)30 July 1995 (aged 22),27,7, PSV Eindhoven
523,Group F,South Korea,1GK,Cho Hyun-woo,No,(1991-09-25)25 September 1991 (aged 26),5,0, Daegu FC
524,Group F,South Korea,1GK,Kim Jin-hyeon,No,(1987-07-06)6 July 1987 (aged 30),14,0, Cerezo Osaka
525,Group F,South Korea,1GK,Kim Seung-gyu,No,(1990-09-30)30 September 1990 (aged 27),32,0, Vissel Kobe
526,Group F,South Korea,2DF,Go Yo-han,No,(1988-03-10)10 March 1988 (aged 30),19,0, FC Seoul
527,Group F,South Korea,2DF,Hong Chul,No,(1990-09-17)17 September 1990 (aged 27),14,0, Sangju Sangmu
528,Group F,South Korea,2DF,Jang Hyun-soo,No,(1991-09-28)28 September 1991 (aged 26),49,3, FC Tokyo
529,Group F,South Korea,2DF,Jung Seung-hyun,No,(1994-04-03)3 April 1994 (aged 24),6,0, Sagan Tosu
530,Group F,South Korea,2DF,Kim Min-woo,No,(1990-02-25)25 February 1990 (aged 28),18,1, Sangju Sangmu
531,Group F,South Korea,2DF,Kim Young-gwon,No,(1990-02-27)27 February 1990 (aged 28),51,2, Guangzhou Evergrande
532,Group F,South Korea,2DF,Lee Yong,No,(1986-12-24)24 December 1986 (aged 31),26,0, Jeonbuk Hyundai Motors
533,Group F,South Korea,2DF,Oh Ban-suk,No,(1988-05-20)20 May 1988 (aged 30),2,0, Jeju United
534,Group F,South Korea,2DF,Park Joo-ho,No,(1987-01-16)16 January 1987 (aged 31),35,0, Ulsan Hyundai
535,Group F,South Korea,2DF,Yun Young-sun,No,(1988-10-04)4 October 1988 (aged 29),5,0, Seongnam FC
536,Group F,South Korea,3MF,Ju Se-jong,No,(1990-10-30)30 October 1990 (aged 27),10,1, Asan Mugunghwa
537,Group F,South Korea,3MF,Jung Woo-young,No,(1989-12-14)14 December 1989 (aged 28),28,1, Vissel Kobe
538,Group F,South Korea,3MF,Ki Sung-yueng,Si,(1989-01-24)24 January 1989 (aged 29),100,10, Swansea City
539,Group F,South Korea,3MF,Koo Ja-cheol,No,(1989-02-27)27 February 1989 (aged 29),66,19, FC Augsburg
540,Group F,South Korea,3MF,Lee Jae-sung,No,(1992-08-10)10 August 1992 (aged 25),33,6, Jeonbuk Hyundai Motors
541,Group F,South Korea,3MF,Lee Seung-woo,No,(1998-01-06)6 January 1998 (aged 20),2,0, Hellas Verona
542,Group F,South Korea,3MF,Moon Seon-min,No,(1992-06-09)9 June 1992 (aged 26),2,1, Incheon United
543,Group F,South Korea,4FW,Hwang Hee-chan,No,(1996-01-26)26 January 1996 (aged 22),13,2, Red Bull Salzburg
544,Group F,South Korea,4FW,Kim Shin-wook,No,(1988-04-14)14 April 1988 (aged 30),48,10, Jeonbuk Hyundai Motors
545,Group F,South Korea,4FW,Son Heung-min,No,(1992-07-08)8 July 1992 (aged 25),65,21, Tottenham Hotspur
546,Group F,Sweden,1GK,Robin Olsen,No,(1990-01-08)8 January 1990 (aged 28),17,0, Copenhagen
547,Group F,Sweden,2DF,Mikael Lustig,No,(1986-12-13)13 December 1986 (aged 31),65,6, Celtic
548,Group F,Sweden,2DF,Victor Lindelöf,No,(1994-07-17)17 July 1994 (aged 23),20,1, Manchester United
549,Group F,Sweden,2DF,Andreas Granqvist,Si,(1985-04-16)16 April 1985 (aged 33),71,6, Krasnodar
550,Group F,Sweden,2DF,Martin Olsson,No,(1988-05-17)17 May 1988 (aged 30),43,5, Swansea City
551,Group F,Sweden,2DF,Ludwig Augustinsson,No,(1994-04-21)21 April 1994 (aged 24),14,0, Werder Bremen
552,Group F,Sweden,3MF,Sebastian Larsson,No,(1985-06-06)6 June 1985 (aged 33),99,6, Hull City
553,Group F,Sweden,3MF,Albin Ekdal,No,(1989-07-28)28 July 1989 (aged 28),33,0, Hamburger SV
554,Group F,Sweden,4FW,Marcus Berg,No,(1986-08-17)17 August 1986 (aged 31),56,18, Al Ain
555,Group F,Sweden,3MF,Emil Forsberg,No,(1991-10-23)23 October 1991 (aged 26),35,6, RB Leipzig
556,Group F,Sweden,4FW,John Guidetti,No,(1992-04-15)15 April 1992 (aged 26),20,1, Alavés
557,Group F,Sweden,1GK,Karl-Johan Johnsson,No,(1990-01-28)28 January 1990 (aged 28),5,0, Guingamp
558,Group F,Sweden,3MF,Gustav Svensson,No,(1987-02-07)7 February 1987 (aged 31),12,0, Seattle Sounders FC
559,Group F,Sweden,2DF,Filip Helander,No,(1993-04-22)22 April 1993 (aged 25),4,0, Bologna
560,Group F,Sweden,3MF,Oscar Hiljemark,No,(1992-06-28)28 June 1992 (aged 25),21,2, Genoa
561,Group F,Sweden,2DF,Emil Krafth,No,(1994-08-02)2 August 1994 (aged 23),12,0, Bologna
562,Group F,Sweden,3MF,Viktor Claesson,No,(1992-01-02)2 January 1992 (aged 26),21,3, Krasnodar
563,Group F,Sweden,2DF,Pontus Jansson,No,(1991-02-13)13 February 1991 (aged 27),15,0, Leeds United
564,Group F,Sweden,3MF,Marcus Rohdén,No,(1991-05-11)11 May 1991 (aged 27),11,1, Crotone
565,Group F,Sweden,4FW,Ola Toivonen,No,(1986-07-03)3 July 1986 (aged 31),58,13, Toulouse
566,Group F,Sweden,3MF,Jimmy Durmaz,No,(1989-03-22)22 March 1989 (aged 29),45,3, Toulouse
567,Group F,Sweden,4FW,Isaac Kiese Thelin,No,(1992-06-24)24 June 1992 (aged 25),19,2, Waasland-Beveren
568,Group F,Sweden,1GK,Kristoffer Nordfeldt,No,(1989-06-23)23 June 1989 (aged 28),8,0, Swansea City
569,Group G,Belgium,1GK,Thibaut Courtois,No,(1992-05-11)11 May 1992 (aged 26),56,0, Chelsea
570,Group G,Belgium,1GK,Matz Sels,No,(1992-02-26)26 February 1992 (aged 26),0,0, Anderlecht
571,Group G,Belgium,1GK,Simon Mignolet,No,(1988-03-06)6 March 1988 (aged 30),21,0, Liverpool
572,Group G,Belgium,1GK,Koen Casteels,No,(1992-06-25)25 June 1992 (aged 25),0,0, VfL Wolfsburg
573,Group G,Belgium,2DF,Toby Alderweireld,No,(1989-03-02)2 March 1989 (aged 29),72,3, Tottenham Hotspur
574,Group G,Belgium,2DF,Vincent Kompany,No,(1986-04-10)10 April 1986 (aged 32),74,4, Manchester City
575,Group G,Belgium,2DF,Jan Vertonghen,No,(1987-04-24)24 April 1987 (aged 31),100,8, Tottenham Hotspur
576,Group G,Belgium,2DF,Thomas Meunier,No,(1991-09-12)12 September 1991 (aged 26),23,5, Paris Saint-Germain
577,Group G,Belgium,2DF,Thomas Vermaelen,No,(1985-11-14)14 November 1985 (aged 32),64,1, Barcelona
578,Group G,Belgium,2DF,Jordan Lukaku,No,(1994-07-25)25 July 1994 (aged 23),8,0, Lazio
579,Group G,Belgium,2DF,Christian Kabasele,No,(1991-02-24)24 February 1991 (aged 27),2,0, Watford
580,Group G,Belgium,2DF,Laurent Ciman,No,(1985-08-05)5 August 1985 (aged 32),19,1, Los Angeles FC
581,Group G,Belgium,2DF,Dedryck Boyata,No,(1990-11-28)28 November 1990 (aged 27),5,0, Celtic
582,Group G,Belgium,3MF,Axel Witsel,No,(1989-01-12)12 January 1989 (aged 29),85,9, Tianjin Quanjian
583,Group G,Belgium,3MF,Kevin De Bruyne,No,(1991-06-28)28 June 1991 (aged 26),57,13, Manchester City
584,Group G,Belgium,3MF,Marouane Fellaini,No,(1987-11-22)22 November 1987 (aged 30),79,16, Manchester United
585,Group G,Belgium,3MF,Adnan Januzaj,No,(1995-02-05)5 February 1995 (aged 23),7,0, Real Sociedad
586,Group G,Belgium,3MF,Mousa Dembélé,No,(1987-07-16)16 July 1987 (aged 30),74,5, Tottenham Hotspur
587,Group G,Belgium,3MF,Youri Tielemans,No,(1997-05-07)7 May 1997 (aged 21),7,0, Monaco
588,Group G,Belgium,3MF,Yannick Carrasco,No,(1993-09-04)4 September 1993 (aged 24),23,5, Dalian Yifang
589,Group G,Belgium,3MF,Leander Dendoncker,No,(1995-04-15)15 April 1995 (aged 23),4,0, Anderlecht
590,Group G,Belgium,3MF,Nacer Chadli,No,(1989-08-02)2 August 1989 (aged 28),41,4, West Bromwich Albion
591,Group G,Belgium,3MF,Eden Hazard,Si,(1991-01-07)7 January 1991 (aged 27),82,21, Chelsea
592,Group G,Belgium,3MF,Thorgan Hazard,No,(1993-03-29)29 March 1993 (aged 25),8,1, Borussia Mönchengladbach
593,Group G,Belgium,4FW,Romelu Lukaku,No,(1993-05-13)13 May 1993 (aged 25),64,30, Manchester United
594,Group G,Belgium,4FW,Christian Benteke,No,(1990-12-03)3 December 1990 (aged 27),32,11, Crystal Palace
595,Group G,Belgium,4FW,Dries Mertens,No,(1987-05-06)6 May 1987 (aged 31),65,13, Napoli
596,Group G,Belgium,4FW,Michy Batshuayi,No,(1993-10-02)2 October 1993 (aged 24),13,5, Borussia Dortmund
597,Group G,England,1GK,Jack Butland,No,(1993-03-10)10 March 1993 (aged 25),7,0, Stoke City
598,Group G,England,1GK,Jordan Pickford,No,(1994-03-07)7 March 1994 (aged 24),3,0, Everton
599,Group G,England,1GK,Nick Pope,No,(1992-04-19)19 April 1992 (aged 26),0,0, Burnley
600,Group G,England,2DF,Trent Alexander-Arnold,No,(1998-10-07)7 October 1998 (aged 19),0,0, Liverpool
601,Group G,England,2DF,Gary Cahill,No,(1985-12-19)19 December 1985 (aged 32),59,5, Chelsea
602,Group G,England,2DF,Fabian Delph,No,(1989-11-21)21 November 1989 (aged 28),10,0, Manchester City
603,Group G,England,2DF,Phil Jones,No,(1992-02-21)21 February 1992 (aged 26),24,0, Manchester United
604,Group G,England,2DF,Harry Maguire,No,(1993-03-05)5 March 1993 (aged 25),4,0, Leicester City
605,Group G,England,2DF,Danny Rose,No,(1990-07-02)2 July 1990 (aged 27),17,0, Tottenham Hotspur
606,Group G,England,2DF,John Stones,No,(1994-05-28)28 May 1994 (aged 24),25,0, Manchester City
607,Group G,England,2DF,Kieran Trippier,No,(1990-09-19)19 September 1990 (aged 27),6,0, Tottenham Hotspur
608,Group G,England,2DF,Kyle Walker,No,(1990-05-28)28 May 1990 (aged 28),35,0, Manchester City
609,Group G,England,2DF,Ashley Young,No,(1985-07-09)9 July 1985 (aged 32),34,7, Manchester United
610,Group G,England,3MF,Dele Alli,No,(1996-04-11)11 April 1996 (aged 22),24,2, Tottenham Hotspur
611,Group G,England,3MF,Eric Dier,No,(1994-01-15)15 January 1994 (aged 24),26,3, Tottenham Hotspur
612,Group G,England,3MF,Jordan Henderson,No,(1990-06-17)17 June 1990 (aged 27),38,0, Liverpool
613,Group G,England,3MF,Jesse Lingard,No,(1992-12-15)15 December 1992 (aged 25),11,1, Manchester United
614,Group G,England,3MF,Ruben Loftus-Cheek,No,(1996-01-23)23 January 1996 (aged 22),3,0, Crystal Palace
615,Group G,England,4FW,Harry Kane,Si,(1993-07-28)28 July 1993 (aged 24),24,13, Tottenham Hotspur
616,Group G,England,4FW,Marcus Rashford,No,(1997-10-31)31 October 1997 (aged 20),18,2, Manchester United
617,Group G,England,4FW,Raheem Sterling,No,(1994-12-08)8 December 1994 (aged 23),38,2, Manchester City
618,Group G,England,4FW,Jamie Vardy,No,(1987-01-11)11 January 1987 (aged 31),21,7, Leicester City
619,Group G,England,4FW,Danny Welbeck,No,(1990-11-26)26 November 1990 (aged 27),38,15, Arsenal
620,Group G,Panama,1GK,José Calderón,No,(1985-08-14)14 August 1985 (aged 32),31,0, Chorrillo
621,Group G,Panama,1GK,Jaime Penedo,No,(1981-09-26)26 September 1981 (aged 36),130,0, Dinamo București
622,Group G,Panama,1GK,Álex Rodríguez,No,(1990-08-05)5 August 1990 (aged 27),6,0, San Francisco
623,Group G,Panama,2DF,Felipe Baloy,Si,(1981-02-24)24 February 1981 (aged 37),102,3, Municipal
624,Group G,Panama,2DF,Harold Cummings,No,(1992-03-01)1 March 1992 (aged 26),51,0, San Jose Earthquakes
625,Group G,Panama,2DF,Erick Davis,No,(1991-03-31)31 March 1991 (aged 27),37,0, Dunajská Streda
626,Group G,Panama,2DF,Fidel Escobar,No,(1995-01-09)9 January 1995 (aged 23),22,1, New York Red Bulls
627,Group G,Panama,2DF,Adolfo Machado,No,(1985-02-14)14 February 1985 (aged 33),75,1, Houston Dynamo
628,Group G,Panama,2DF,Michael Amir Murillo,No,(1996-02-15)15 February 1996 (aged 22),21,2, New York Red Bulls
629,Group G,Panama,2DF,Luis Ovalle,No,(1988-09-07)7 September 1988 (aged 29),25,0, CD Olimpia
630,Group G,Panama,2DF,Román Torres,No,(1986-03-20)20 March 1986 (aged 32),110,10, Seattle Sounders FC
631,Group G,Panama,3MF,Édgar Bárcenas,No,(1993-10-23)23 October 1993 (aged 24),28,0, Tapachula
632,Group G,Panama,3MF,Armando Cooper,No,(1987-11-26)26 November 1987 (aged 30),97,7, Universidad de Chile
633,Group G,Panama,3MF,Aníbal Godoy,No,(1990-02-10)10 February 1990 (aged 28),88,2, San Jose Earthquakes
634,Group G,Panama,3MF,Gabriel Gómez,No,(1984-05-29)29 May 1984 (aged 34),143,12, Atlético Bucaramanga
635,Group G,Panama,3MF,Valentín Pimentel,No,(1991-05-30)30 May 1991 (aged 27),22,1, Plaza Amador
636,Group G,Panama,3MF,Alberto Quintero,No,(1987-12-18)18 December 1987 (aged 30),89,5, Universitario
637,Group G,Panama,3MF,José Luis Rodríguez,No,(1998-06-19)19 June 1998 (aged 19),1,0, Gent
638,Group G,Panama,4FW,Abdiel Arroyo,No,(1993-12-13)13 December 1993 (aged 24),33,5, Alajuelense
639,Group G,Panama,4FW,Ismael Díaz,No,(1997-05-12)12 May 1997 (aged 21),10,2, Deportivo Fabril
640,Group G,Panama,4FW,Blas Pérez,No,(1981-03-13)13 March 1981 (aged 37),117,43, Municipal
641,Group G,Panama,4FW,Luis Tejada,No,(1982-03-28)28 March 1982 (aged 36),105,43, Sport Boys
642,Group G,Panama,4FW,Gabriel Torres,No,(1988-10-31)31 October 1988 (aged 29),71,14, Huachipato
643,Group G,Tunisia,1GK,Farouk Ben Mustapha,No,(1989-07-01)1 July 1989 (aged 28),15,0, Al-Shabab
644,Group G,Tunisia,1GK,Mouez Hassen,No,(1995-03-05)5 March 1995 (aged 23),3,0, Châteauroux
645,Group G,Tunisia,1GK,Aymen Mathlouthi,Si,(1984-09-14)14 September 1984 (aged 33),69,0, Al-Batin
646,Group G,Tunisia,2DF,Rami Bedoui,No,(1990-01-19)19 January 1990 (aged 28),8,0, Étoile du Sahel
647,Group G,Tunisia,2DF,Yohan Benalouane,No,(1987-03-28)28 March 1987 (aged 31),3,0, Leicester City
648,Group G,Tunisia,2DF,Syam Ben Youssef,No,(1989-03-31)31 March 1989 (aged 29),41,1, Kasımpaşa
649,Group G,Tunisia,2DF,Dylan Bronn,No,(1995-06-19)19 June 1995 (aged 22),4,0, Gent
650,Group G,Tunisia,2DF,Oussama Haddadi,No,(1992-01-28)28 January 1992 (aged 26),8,0, Dijon
651,Group G,Tunisia,2DF,Ali Maâloul,No,(1990-01-01)1 January 1990 (aged 28),45,0, Al Ahly
652,Group G,Tunisia,2DF,Yassine Meriah,No,(1993-07-02)2 July 1993 (aged 24),15,1, CS Sfaxien
653,Group G,Tunisia,2DF,Hamdi Nagguez,No,(1992-10-28)28 October 1992 (aged 25),15,0, Zamalek
654,Group G,Tunisia,3MF,Mohamed Amine Ben Amor,No,(1992-01-01)1 January 1992 (aged 26),25,1, Al-Ahli
655,Group G,Tunisia,3MF,Ghailene Chaalali,No,(1994-02-28)28 February 1994 (aged 24),6,1, Espérance
656,Group G,Tunisia,3MF,Ahmed Khalil,No,(1994-12-21)21 December 1994 (aged 23),3,0, Club Africain
657,Group G,Tunisia,3MF,Saîf-Eddine Khaoui,No,(1995-04-27)27 April 1995 (aged 23),4,0, Troyes
658,Group G,Tunisia,3MF,Ferjani Sassi,No,(1992-03-18)18 March 1992 (aged 26),38,3, Al-Nassr
659,Group G,Tunisia,3MF,Ellyes Skhiri,No,(1995-05-10)10 May 1995 (aged 23),4,0, Montpellier
660,Group G,Tunisia,4FW,Anice Badri,No,(1990-08-18)18 August 1990 (aged 27),6,2, Espérance
661,Group G,Tunisia,4FW,Fakhreddine Ben Youssef,No,(1991-06-21)21 June 1991 (aged 26),38,5, Al-Ettifaq
662,Group G,Tunisia,4FW,Saber Khalifa,No,(1986-10-14)14 October 1986 (aged 31),43,7, Club Africain
663,Group G,Tunisia,4FW,Wahbi Khazri,No,(1991-02-08)8 February 1991 (aged 27),35,12, Rennes
664,Group G,Tunisia,4FW,Naïm Sliti,No,(1992-07-27)27 July 1992 (aged 25),16,3, Dijon
665,Group G,Tunisia,4FW,Bassem Srarfi,No,(1997-06-25)25 June 1997 (aged 20),4,0, Nice
666,Group H,Colombia,1GK,David Ospina,No,(1988-08-31)31 August 1988 (aged 29),86,0, Arsenal
667,Group H,Colombia,1GK,Camilo Vargas,No,(1989-03-09)9 March 1989 (aged 29),5,0, Deportivo Cali
668,Group H,Colombia,1GK,Iván Arboleda,No,(1996-04-21)21 April 1996 (aged 22),0,0, Banfield
669,Group H,Colombia,1GK,José Fernando Cuadrado,No,(1985-06-01)1 June 1985 (aged 33),1,0, Once Caldas
670,Group H,Colombia,2DF,Cristián Zapata,No,(1986-09-30)30 September 1986 (aged 31),55,2, Milan
671,Group H,Colombia,2DF,Dávinson Sánchez,No,(1996-05-12)12 May 1996 (aged 22),9,0, Tottenham Hotspur
672,Group H,Colombia,2DF,Santiago Arias,No,(1992-01-13)13 January 1992 (aged 26),41,0, PSV Eindhoven
673,Group H,Colombia,2DF,Óscar Murillo,No,(1988-04-18)18 April 1988 (aged 30),13,0, Pachuca
674,Group H,Colombia,2DF,Frank Fabra,No,(1991-02-22)22 February 1991 (aged 27),19,1, Boca Juniors
675,Group H,Colombia,2DF,Johan Mojica,No,(1991-08-21)21 August 1991 (aged 26),4,1, Girona
676,Group H,Colombia,2DF,Yerry Mina,No,(1994-09-23)23 September 1994 (aged 23),12,3, Barcelona
677,Group H,Colombia,2DF,William Tesillo,No,(1990-02-02)2 February 1990 (aged 28),3,0, Club León
678,Group H,Colombia,2DF,Bernardo Espinosa,No,(1989-07-11)11 July 1989 (aged 28),0,0, Girona
679,Group H,Colombia,2DF,Stefan Medina,No,(1992-06-14)14 June 1992 (aged 26),11,0, Monterrey
680,Group H,Colombia,2DF,Farid Díaz,No,(1983-07-20)20 July 1983 (aged 34),13,0, Olimpia
681,Group H,Colombia,3MF,Wílmar Barrios,No,(1993-10-16)16 October 1993 (aged 24),10,0, Boca Juniors
682,Group H,Colombia,3MF,Carlos Sánchez,No,(1986-02-06)6 February 1986 (aged 32),85,0, Espanyol
683,Group H,Colombia,3MF,Jefferson Lerma,No,(1994-10-25)25 October 1994 (aged 23),5,0, Levante
684,Group H,Colombia,3MF,José Izquierdo,No,(1992-07-07)7 July 1992 (aged 25),5,1, Brighton & Hove Albion
685,Group H,Colombia,3MF,James Rodríguez,No,(1991-07-12)12 July 1991 (aged 26),63,21, Bayern Munich
686,Group H,Colombia,3MF,Giovanni Moreno,No,(1986-07-01)1 July 1986 (aged 31),21,3, Shanghai Greenland Shenhua
687,Group H,Colombia,3MF,Abel Aguilar,No,(1985-01-06)6 January 1985 (aged 33),70,7, Deportivo Cali
688,Group H,Colombia,3MF,Mateus Uribe,No,(1991-03-21)21 March 1991 (aged 27),8,0, América
689,Group H,Colombia,3MF,Yimmi Chará,No,(1991-04-02)2 April 1991 (aged 27),7,0, Junior
690,Group H,Colombia,3MF,Juan Fernando Quintero,No,(1993-01-18)18 January 1993 (aged 25),15,2, River Plate
691,Group H,Colombia,3MF,Edwin Cardona,No,(1992-12-08)8 December 1992 (aged 25),31,5, Boca Juniors
692,Group H,Colombia,3MF,Juan Cuadrado,No,(1988-05-26)26 May 1988 (aged 30),70,7, Juventus
693,Group H,Colombia,3MF,Gustavo Cuéllar,No,(1992-10-14)14 October 1992 (aged 25),3,0, Flamengo
694,Group H,Colombia,3MF,Sebastián Pérez Cardona,No,(1993-03-29)29 March 1993 (aged 25),8,1, Boca Juniors
695,Group H,Colombia,4FW,Radamel Falcao,Si,(1986-02-10)10 February 1986 (aged 32),73,29, Monaco
696,Group H,Colombia,4FW,Duván Zapata,No,(1991-04-01)1 April 1991 (aged 27),5,0, Sampdoria
697,Group H,Colombia,4FW,Miguel Borja,No,(1993-01-26)26 January 1993 (aged 25),7,2, Palmeiras
698,Group H,Colombia,4FW,Carlos Bacca,No,(1986-09-08)8 September 1986 (aged 31),45,14, Villarreal
699,Group H,Colombia,4FW,Luis Muriel,No,(1991-04-16)16 April 1991 (aged 27),18,2, Sevilla
700,Group H,Colombia,4FW,Teófilo Gutiérrez,No,(1985-05-17)17 May 1985 (aged 33),51,15, Junior
701,Group H,Japan,1GK,Eiji Kawashima,No,(1983-03-20)20 March 1983 (aged 35),83,0, Metz
702,Group H,Japan,2DF,Naomichi Ueda,No,(1994-10-24)24 October 1994 (aged 23),3,0, Kashima Antlers
703,Group H,Japan,2DF,Gen Shoji,No,(1992-12-11)11 December 1992 (aged 25),10,1, Kashima Antlers
704,Group H,Japan,3MF,Keisuke Honda,No,(1986-06-13)13 June 1986 (aged 32),94,36, Pachuca
705,Group H,Japan,2DF,Yuto Nagatomo,No,(1986-09-12)12 September 1986 (aged 31),104,3, Galatasaray
706,Group H,Japan,2DF,Wataru Endo,No,(1993-02-09)9 February 1993 (aged 25),11,0, Urawa Red Diamonds
707,Group H,Japan,3MF,Gaku Shibasaki,No,(1992-05-28)28 May 1992 (aged 26),16,3, Getafe
708,Group H,Japan,3MF,Genki Haraguchi,No,(1991-05-09)9 May 1991 (aged 27),31,6, Fortuna Düsseldorf
709,Group H,Japan,4FW,Shinji Okazaki,No,(1986-04-16)16 April 1986 (aged 32),112,50, Leicester City
710,Group H,Japan,3MF,Shinji Kagawa,No,(1989-03-17)17 March 1989 (aged 29),90,29, Borussia Dortmund
